,Timestamp,Indicate your current degree of studies,Which country is your school in?,Are your classes currently being conducted online?,What platform is your online school using?,"The nature and purpose of this research have been sufficiently explained. I understand that I am free to withdraw at any time without incurring any penalty. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I Agree"" button to begin the survey. If not, thank you for your time.",1. How many of the following techniques do your teachers use in class?,3-9. Please indicate how much you agree or disagree with the following statements: [I enjoy having classes online.],3-9. Please indicate how much you agree or disagree with the following statements: [I feel motivated before class.],3-9. Please indicate how much you agree or disagree with the following statements: [I am satisfied with how my teachers conduct online classes.],3-9. Please indicate how much you agree or disagree with the following statements: [My classes are engaging.],3-9. Please indicate how much you agree or disagree with the following statements: [I am often distracted during class.],3-9. Please indicate how much you agree or disagree with the following statements: [I speak often during each class.],3-9. Please indicate how much you agree or disagree with the following statements: [I often ask the teacher Qs (either verbally or in chat)],"10. If you could change one thing about the way your online classes are designed, what would you change? Why?",11. Do you prefer online classes over in-person classes? Why or why not?,In-class assessments/quizzes,Asking students to explain concepts to the class,Debates,Small group activities where you solve a problem together,Role playing situations,Q&A with students' questions,Asking you to apply class material to a new context,assessments,explanation,debates,activities,rp,qna,application
22,4/6/2020 4:14:24,Undergraduate,United Kingdom,Yes,All of the above,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions",Neutral,Disagree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Smaller groups ,In person more interactive easier/more comfortable to ask questions and understand  a new concept ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,4/6/2020 4:14:24,Undergraduate,Ireland,Yes,Recorded Lectures,I agree,In-class assessments/quizzes,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Live classes so we are more engaged with the content,In person: engagement levels are high,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,4/6/2020 4:14:26,Undergraduate,United Kingdom,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Debates, Small group activities where you solve a problem together, Q&A with students' questions",Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Neutral,Give the students more time to ask questions and hand things in. ,"No, I don’t feel you get the same level of understanding for things you’re being taught online compared to how they are taught in person. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,4/6/2020 4:14:26,High school,Australia,Yes,Microsoft Teams,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Role playing situations, Explanation using Diagrams, Asking you to apply class material to a new context",Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Nothing,"No, because sometimes technology doesn’t always work and it’s better to have an in person interaction with your teachers to help understand and answer questions efficiently ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,4/6/2020 4:14:29,Undergraduate,Australia,Yes,zoom and recorded lectures,I agree,"Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Q&A with students' questions",Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,i would like for lectures to be live rather than pre recorded in order for us to feel like we are really engaging with the material,i personally prefer in person as i find i am more motivated in the campus environment ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
28,4/6/2020 4:14:32,Undergraduate,Pakistan,Yes,Google Teams,I agree,"In-class assessments/quizzes, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Agree,More quizes and assignments should be conducted,In person classes because i hate staying at home,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,4/6/2020 4:14:34,Postgraduate,Australia,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions",Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,"It is particularly hard with my course (cardiac nursing), as I learn by doing things not seeing things. ","Online for lectures, but in person for tutorials. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,4/6/2020 4:14:38,Graduate,Australia,Yes,Zoom,I agree,"Videos, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Agree,Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Asking us to explain concepts would be good but our lecturer doesn’t really put us on the spot like that.,Sometimes as I feel like the teacher can easily see who we all are and our names and it’s actually more difficult to sit back and not participate because she’ll see our names and ask us a question ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
31,4/6/2020 4:14:38,Undergraduate,Ireland,Yes,Blackboard ,I agree,Videos,Strongly Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,The lectures where actually streamed instead of them uploading slides. ,I love the online classes because I don't have to travel and I am in the comfort of my own home,0,1,1,1,1,1,1,0,1,1,1,1,1,1
33,4/6/2020 4:14:44,Undergraduate,United Kingdom,Yes,Microsoft Teams and Recorded Lectures,I agree,Videos,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,More tasks to do during online class - I feel rather passive in this form of learning. ,No. Not as engaging and more difficult to keep focus. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
34,4/6/2020 4:14:45,Undergraduate,Ireland,Yes,Recorded Lectures,I agree,Explanation using Diagrams,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Disagree,Disagree,Some quiz/ participation questions so we could track our progress ,No because I’m motivated by the fact I get to see my friends at in person lectures and classes and I am more engaged with lectures in person ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
35,4/6/2020 4:14:45,Undergraduate,United Kingdom,Yes,Microsoft teams ,I agree,Q&A with students' questions,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,"My teachers don’t really know how to work online, and the classes aren’t really engaging ","No, they aren’t really engaging and they haven’t really been proper teaching classes ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
42,4/6/2020 4:14:55,Postgraduate,Spain,"Some are, others no",Google Meet,I agree,"Debates, Asking you to apply class material to a new context",Neutral,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Nothing,"No, because I like seeing the people I am talking to (the online classes we are having are just with microphone, no cameras)",0,1,1,1,1,1,1,0,1,1,1,1,1,1
44,4/6/2020 4:14:55,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,Videos,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,That they would be more compulsory. There is nothing that will happen if I don’t do it and because my exams are cancelled I am not working towards anything ,"In person, I find them a lot more engaging and interactive ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
48,4/6/2020 4:15:00,Undergraduate,Australia,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,More breakout groups and consistency between lecturers of the same unit,"No, I like the constant engagement with peers I get in real classes, I feel more supported in in person classes to ask questions and engage in class discussion ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,4/6/2020 4:15:03,Undergraduate,United Kingdom,Yes,Google Teams,I agree,"Videos, Q&A with students' questions",Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Neutral,I would like more clarification on what is actually happening with classes ,I do not prefer online classes as they aren’t as engaging and I don’t feel motivated to do university work due to being at home rather than studying at a library,0,1,1,1,1,1,1,0,1,1,1,1,1,1
51,4/6/2020 4:15:03,Undergraduate,United Kingdom,Yes,All of the above,I agree,"In-class assessments/quizzes, Videos, Debates, Explanation using Diagrams, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Disagree,I would not make them compulsory during this time of COVID-19,"I prefer in person classes, because I can engage better with the material we are learning and have fewer distractions ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,4/6/2020 4:15:03,Undergraduate,Georgia,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions",Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,I feel the professors can use more methods of learning to geninuely grasp and apply the content they are teaching. ,I do prefer online classes; I adore the flexibility and I can work on whatever time I please ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,4/6/2020 4:15:14,Undergraduate,Slovenia,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Debates, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,More group work.,"No, because in-person classes feel more personal and I feel more comfortable asking questions",0,1,1,1,1,1,1,0,1,1,1,1,1,1
56,4/6/2020 4:15:15,High school,Ireland,Yes,Google Teams,I agree,"Videos, Explanation using Diagrams, Asking you to apply class material to a new context",Neutral,Neutral,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,More structure ,"Yes, I miss a lot of school in general. This is helpful as I’m now actually learning and doing work at home like I couldn’t before ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
59,4/6/2020 4:15:20,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,Videos,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,It’s currently a chat box and I would prefer a video format. ,"No, I think while online classes can be good, there is something magical, something special about in person teaching. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
60,4/6/2020 4:15:21,High school,Poland,Yes,Google Meet,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Explanation using Diagrams",Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Using the platform designed for online learning like your uni does! So that we can actively learn,"In person! It’s so much easier to focus, to ask questions when you’re face-to-face, your held accountable for what you’re doing, you can easily ask others around you in person for help that is difficult online. It’s more engaging because you’re not staring at your computer in the same spot all day",1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,4/6/2020 4:15:22,Graduate,Spain,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Asking you to apply class material to a new context",Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,a small break in the middle ,"No: in person it’s easier to focus, participate, and debate ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,4/6/2020 4:15:27,High school,Australia,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,More zoom sessions because it keeps me accountable vs being given work to do on my own,"No. I love school, I love socialising, I live my teachers and friends and structure! I miss getting up early and getting breakfast at a cafe with my friends before class and being able to hug my friends! My mental health struggles when I can’t see people",0,1,1,1,1,1,1,0,1,1,1,1,1,1
64,4/6/2020 4:15:28,High school,South Africa,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Debates, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,I just dont want it to be online ,In person. I miss the physical contact with teachers and students. Everything is weird and artificial to me,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,4/6/2020 4:15:29,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,Videos,Neutral,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Agree,Lecturers holding Q and A video chats,It’s virtually the same as normal,0,1,1,1,1,1,1,0,1,1,1,1,1,1
66,4/6/2020 4:15:29,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Explanation using Diagrams, Asking you to apply class material to a new context",Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,"Communication due to me graduating this year, university took a while to communicate to final year students on how the dissertation was to be conducted. ",I like either as we did a mix of both before this virus happened ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
68,4/6/2020 4:15:32,Undergraduate,United Kingdom,Yes,Blackboard,I agree,Small group activities where you solve a problem together,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Not having to use video and audio- find it too awkward,No I prefer in person. Having to go somewhere helps be feel more awake and motivated,0,1,1,1,1,1,1,0,1,1,1,1,1,1
69,4/6/2020 4:15:37,High school,United Kingdom,Yes,Microsoft Teams,I agree,In-class assessments/quizzes,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,More interactive ,No better to see teacher face to face understand it better ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,4/6/2020 4:15:41,Undergraduate,United Kingdom,Yes,Zoom,I agree,"Videos, Q&A with students' questions",Neutral,Strongly Disagree,Neutral,Disagree,Agree,Disagree,Disagree,"The teachers need to direct more questions at the students like they do in class, not just ask if people have questions as no one answers ","No, because we have experienced many technical difficulties and I enjoy meeting up with my class as it’s more interactive ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
75,4/6/2020 4:15:41,Undergraduate,United Kingdom,Yes but already doing online school prior to Covid,Blackboard ,I agree,"Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Q&A with students' questions",Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,For me the timings as they are always conducted in the evenings.,Yes as I can make more notes and understand it at my own pace.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
76,4/6/2020 4:15:43,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos",Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,More scheduled so I would be more motivated to go ,No they are way less engaging ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,4/6/2020 4:15:45,High school,United Kingdom,"just being set tasks and ppts, no actual classes being taught",moodle: has links and files attached ,I agree,Asking you to apply class material to a new context,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Agree,Agree,"actually have a class, not just being told what to do all week every monday ",in person bc teachers actually teach ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
79,4/6/2020 4:15:47,Undergraduate,United Kingdom,Yes,Collaborate,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Have them all pre-recorded so less disruption from other students ,Face to face as other students behave better and don’t anonymously interrupt 🙃,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,4/6/2020 4:15:47,Undergraduate,Netherlands,Yes,Recorded lectures and Microsoft Teams,I agree,"Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,I would like more interaction with smaller groups and break out sessions. ,In person classes bc engagement is way higher,0,1,1,1,1,1,1,0,1,1,1,1,1,1
81,4/6/2020 4:15:48,Postgraduate,United Kingdom,Yes,Zoom and Blackboard Collaborate,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions",Agree,Disagree,Neutral,Agree,Agree,Disagree,Strongly Disagree,That slides aren’t overloaded with too much information. ,"No, I miss the discussions that we had around the topic in class it’s not as easy online and technology failures with my laptop and WiFi doesn’t make it easy for me to engage. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
83,4/6/2020 4:15:51,Undergraduate,United Kingdom,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Teachers should talk less and make students talk more.,"I think I prefer it when conducted right. It saves time of getting to campus, then the time around class can be used more productively. Though in the long run I think it could be quite isolating.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
85,4/6/2020 4:15:55,Postgraduate,United Kingdom,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Debates, Role playing situations, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Break in the middle,"No, I miss the social aspects & having written work immediately corrected",0,1,1,1,1,1,1,0,1,1,1,1,1,1
86,4/6/2020 4:15:56,High school,Austria,Yes,"Google Hangout, Google Classroom",I agree,"Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Engage the students more,In-person classes because of the social aspect with classmates and a more relaxed environment ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
87,4/6/2020 4:15:59,High school,Austria,Yes,"Microsoft Teams, moodle, Zoom",I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Using only one platform instead of 5 different ones,I don't. I'm simply not motivated enough to do stuff on my own without having exact deadlines. Often we are also told to self-check and that decreases motivation once again.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,4/6/2020 4:16:01,High school,Ireland,Yes,Microsoft Teams,I agree,Q&A with students' questions,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,I would love for the global pandemic to be over so I can go back to actual class,"No, I need structure ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
89,4/6/2020 4:16:03,High school,United Kingdom,Yes,Zoom,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Sticking to a routine ,"No because I can easily get distracted and demotivated, while the nature of a classroom sets your mind up for work ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
90,4/6/2020 4:16:03,Undergraduate,India,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Wish they were more interactive as it provides us a better platform to learn.,I prefer a real classroom to online class. This is because they feel more personal.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,4/6/2020 4:16:05,Undergraduate,United Kingdom,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, PowerPoint ",Neutral,Disagree,Neutral,Agree,Agree,Agree,Neutral,Create more ways to engage and be interactive,"No I prefer face to face teaching as it is easier to have discussions, ideas bounce off each other more",0,1,1,1,1,1,1,0,1,1,1,1,1,1
94,4/6/2020 4:16:07,Undergraduate,United Kingdom,Yes,Zoom,I agree,None of these,Disagree,Disagree,Neutral,Disagree,Agree,Strongly Disagree,Strongly Disagree,Wish that the lecturer would slow down and fully explain not just read off the lecture slide,"In person, there is way more detail and I'm far more focused ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
95,4/6/2020 4:16:10,Undergraduate,United Kingdom,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together",Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Make it more interactive and engage students to avoid distraction ,In-person classes ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,4/6/2020 4:16:11,Undergraduate,United Kingdom,Yes,Google Teams,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Q&A with students' questions, PowerPoint presentation",Disagree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Have webcams on so I feel like I'm back in the classroom and the lecturer can see me if I'm on my phone and keep me accountable.,"No, I find it more comfortable speaking and expressing ideas when I can physically see the people I'm talking to. It's uncomfortable with social anxiety having classes online.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,4/6/2020 4:16:13,High school,Australia,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,"The ‘lecture’ style online classes, I don’t learn effectively from them","No, I’m person is much better, teachers know if everyone gets a concept by facial expressions, body language etc. but people feel that they need to agree with everyone in an online class and don’t speak up if they don’t understand",1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,4/6/2020 4:16:16,High school,United Kingdom,Tasks are set online,Firefly,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together",Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,more interactive,In person- it’s more formal and I learn more in a classroom enviroment,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,4/6/2020 4:16:25,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Asking you to apply class material to a new context",Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,More communication and flexible communication,"I prefer person classes because it is more of a personal approach keep in contact with teacher and students, easier to ask questions and approach the Lecture",0,1,1,1,1,1,1,0,1,1,1,1,1,1
103,4/6/2020 4:16:25,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Be able to interact more ,I’m unable to feel motivated for class as the smaller tasks within a workshop are not as engaging when working alone,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,4/6/2020 4:16:27,Undergraduate,Netherlands,Yes,Microsoft teams,I agree,Q&A with students' questions,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,I want them to be more interactive and more information based. Right now it's a lot of Q&a and then figure stuff out by yourself ,"I definitely prefer in-person classes but this is all very new and our teachers are still figuring out all the different online platforms and how to transfer information best. Mostly right now I like my online classes so much because they give me structure to my day, I feel finally productive and it's a way of also socialising.",0,1,1,1,1,1,1,0,1,1,1,1,1,1
107,4/6/2020 4:16:27,Undergraduate,Italy,Yes,Blackboard,I agree,"Videos, Q&A with students' questions",Disagree,Strongly Disagree,Disagree,Neutral,Agree,Agree,Neutral,I would like professors to do more live classes rather than pre-recorded ones,I prefer in-person classes over to online classes because I’ve noticed that I can follow easily when in class and also remember most of the things that were said by the teacher in the in-person class,0,1,1,1,1,1,1,0,1,1,1,1,1,1
108,4/6/2020 4:16:29,College (UK),United Kingdom,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Q&A with students' questions, Screen share powerpoints ",Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Have them set us activities ,Online as it gives me more freedom/ less pressure. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
111,4/6/2020 4:16:29,High school,United Kingdom,Yes,Microsoft teams ,I agree,None of these,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Have better teachers who now how to do online learning haha,No because there are lots if errors and we mainly just get powerpoints to make notes on ...which is not engaging nor covering the content properly.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
