"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"27",9,0,1988,34,8,0,0,6000,1,13,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
"28",9,0,1991,37,7,0,0,7000,1,18,1,0,0,0,1,1,1,0,1,0,0,4,0,1,0
"29",9,0,1994,40,9,0,0,7500,1,18,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
"30",10,1,1988,30,6,0,0,3600,0,18,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
"31",10,1,1994,36,6,0,0,9200,1,18,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1
"32",11,1,1988,37,6,0,0,1800,0,10.5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"33",11,1,1991,40,7,0,0,1900,0,10.5,0,1,0,0,0,0,1,0,1,0,0,3,0,1,0
"34",11,1,1994,43,10,0,0,2000,0,10.5,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0
"35",12,1,1986,43,8,0,0,3100,0,9,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"36",12,1,1988,45,7,0,0,4000,0,9,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
"37",12,1,1991,48,6,0,0,1740,0,9,0,1,0,0,0,0,1,0,1,0,0,10,1,1,0
"38",12,1,1994,51,5,0,0,4500,0,9,1,1,0,0,0,0,1,0,1,0,0,13,0,1,0
"39",13,0,1984,26,2,0,0,1050,0,13,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0
"40",13,0,1988,30,9,0,0,1200,0,18,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"41",13,0,1991,33,8,0,0,4200,0,18,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
"42",13,0,1994,36,8,0,0,6250,0,18,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
"43",14,0,1984,36,10,0,0,2000,1,15,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
"44",14,0,1985,37,9,0,0,3100,1,15,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
"45",14,0,1986,38,8,0,0,3000,1,15,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
"46",14,0,1987,39,10,1,7.649712,2900,1,15,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"47",14,0,1988,40,9,0,0,3500,1,15,1,0,0,0,1,0,1,1,0,0,0,2,0,1,0
"48",14,0,1991,43,8,0,0,6000,1,15,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"49",14,0,1994,46,9,0,0,7000,1,15,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"50",15,1,1988,32,10,0,0,3500,1,11.44142,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0
"51",15,1,1991,35,10,0,0,6000,1,11.44142,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"52",15,1,1994,38,8,0,0,7000,1,11.44142,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0
"53",16,1,1984,36,7,0,0,1700,1,10.5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"54",16,1,1985,37,6,0,0,2100,1,10.5,0,1,0,0,0,0,1,0,1,0,0,4,0,1,0
"55",16,1,1986,38,7,0,0,2600,1,10.5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"56",16,1,1988,40,6,0,0,2000,0,10.5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"57",16,1,1991,43,5,0,0,1000,0,10.5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"58",16,1,1994,46,8,0,0,2000,0,10.5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"59",17,0,1985,57,5,0,0,2313,0,10.5,1,1,0,0,0,0,1,0,1,0,0,38,0,1,0
"60",17,0,1986,58,5,0,0,2350,0,10.5,1,1,0,0,0,0,1,0,1,0,0,2,0,1,0
"61",17,0,1987,59,5,1,7.649712,2340,0,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"62",17,0,1988,60,4,0,0,2400,0,10.5,1,1,0,0,0,0,1,0,1,0,0,4,0,1,0
"63",17,0,1991,63,7,0,0,3100,0,10.5,1,1,0,0,0,0,1,0,1,0,0,4,0,1,0
"64",18,1,1984,57,2,1,30,2300,0,10.5,1,1,0,0,0,0,0,0,0,0,0,62,2,1,0
"65",18,1,1985,58,0,1,30,2313,0,10.5,1,1,0,0,0,0,0,0,0,0,0,13,1,1,0
"66",18,1,1986,59,2,1,30,2350,0,10.5,1,1,0,0,0,0,0,0,0,0,0,26,0,1,0
"67",18,1,1991,64,0,1,70,3100,0,10.5,1,1,0,0,0,0,0,0,0,0,0,15,2,1,0
"68",19,0,1984,37,9,0,0,2000,1,11.5,1,0,1,0,0,0,1,1,0,0,0,2,0,1,0
"69",19,0,1985,38,7,0,0,2000,1,11.5,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0
"70",19,0,1986,39,8,0,0,2500,1,11.5,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0
"71",19,0,1987,40,5,1,7.649712,2700,1,11.5,0,0,1,0,0,0,1,1,0,0,0,3,0,1,0
"72",19,0,1988,41,8,0,0,3800,1,11.5,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
"73",19,0,1991,44,6,0,0,3000,1,11.5,1,0,1,0,0,0,1,1,0,0,0,3,0,1,0
"74",20,1,1984,35,9,0,0,2000,1,14.5,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0
"75",20,1,1986,37,5,0,0,2500,1,14.5,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0
"76",20,1,1987,38,6,1,6.701853,2700,1,14.5,0,0,0,0,1,0,0,1,0,0,0,4,0,1,0
"77",20,1,1988,39,9,0,0,3800,1,14.5,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
"78",20,1,1991,42,9,0,0,3000,1,14.5,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"79",21,0,1985,39,10,0,0,6400,1,18,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"80",21,0,1986,40,9,0,0,3600,1,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"81",21,0,1988,42,9,0,0,3900,1,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"82",21,0,1991,45,9,0,0,4500,0,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"83",21,0,1994,48,8,0,0,5500,0,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"84",22,1,1984,38,10,0,0,5500,1,18,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"85",22,1,1985,39,6,0,0,6400,1,18,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"86",22,1,1986,40,9,0,0,2200,0,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"87",22,1,1987,41,9,1,3.396562,3000,0,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"88",22,1,1988,42,8,0,0,3200,0,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"89",22,1,1991,45,7,0,0,3200,1,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"90",22,1,1994,48,9,0,0,4120,1,18,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"91",23,0,1985,48,6,0,0,5500,0,11.5,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
"92",24,1,1984,46,4,0,0,3941.831,0,11.5,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"93",25,1,1985,61,7,0,0,1282,0,17,0,0,0,1,0,1,0,0,0,0,0,5,0,1,0
"94",25,1,1986,62,6,0,0,742,0,17,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0
"95",25,1,1987,63,4,1,15,1258,0,17,0,0,0,1,0,1,0,0,0,0,0,6,0,1,0
"96",25,1,1988,64,4,0,0,881,0,17,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0
"97",26,0,1984,32,5,0,0,800,0,18,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
"98",26,0,1985,33,5,0,0,4520.623,0,18,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0
"99",26,0,1986,34,6,0,0,1200,0,18,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
"100",26,0,1988,36,3,0,0,1100,0,18,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0
"101",27,0,1987,30,9,1,7.649712,2600,0,13.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"102",27,0,1988,31,7,0,0,2650,0,13.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"103",27,0,1991,34,9,0,0,4500,1,13.5,1,0,0,1,0,0,1,0,0,0,1,2,0,0,0
"104",28,0,1984,37,3,0,0,1012,0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"105",28,0,1986,39,5,0,0,4000,0,10.5,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"106",28,0,1987,40,7,1,7.649712,4100,0,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"107",28,0,1988,41,5,0,0,4100,0,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"108",28,0,1991,44,5,0,0,5000,0,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"109",28,0,1994,47,4,0,0,2500,0,10.5,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"110",29,1,1987,31,10,1,3.396562,4100,0,11.5,1,0,1,0,0,0,1,0,1,0,0,4,0,1,0
"111",29,1,1988,32,10,0,0,4100,0,11.5,1,0,1,0,0,0,1,0,1,0,0,3,0,1,0
"112",29,1,1991,35,8,0,0,5000,0,11.5,1,0,1,0,0,0,1,0,1,0,0,4,0,1,0
"113",30,0,1984,52,7,0,0,1900,0,11,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"114",30,0,1988,56,4,0,0,2089,0,11,0,1,0,0,0,0,1,0,1,0,0,10,0,1,0
"115",30,0,1991,59,3,1,80,2339,0,11,0,1,0,0,0,0,1,0,1,0,0,5,0,1,0
"116",30,0,1994,62,5,1,80,1800,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"117",31,0,1986,39,6,0,0,4200,1,10.5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"118",31,0,1987,40,4,1,7.649712,3700,1,10.5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"119",31,0,1988,41,8,0,0,4300,1,10.5,1,1,0,0,0,0,1,0,0,1,0,12,0,0,0
"120",31,0,1991,44,0,0,0,5000,0,10.5,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"121",32,1,1984,37,7,0,0,2500,1,12,1,0,1,0,0,0,1,0,1,0,0,2,0,1,0
"122",32,1,1986,39,7,0,0,4200,1,12,1,0,1,0,0,0,1,0,1,0,0,2,0,1,0
"123",32,1,1988,41,7,0,0,4300,1,12,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"124",32,1,1991,44,6,0,0,5000,0,12,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"125",32,1,1994,47,7,0,0,6200,0,12,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"126",33,0,1984,54,4,0,0,830,0,9,1,1,0,0,0,0,0,0,0,0,0,5,0,1,0
"127",33,0,1985,55,5,0,0,965,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"128",33,0,1986,56,8,0,0,1200,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"129",33,0,1987,57,6,1,7.649712,1300,0,9,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"130",33,0,1988,58,6,0,0,1156,0,9,1,1,0,0,0,0,0,0,0,0,0,10,0,1,0
"131",33,0,1991,61,3,1,70,1064,0,9,1,1,0,0,0,0,0,0,0,0,0,6,0,1,0
"132",33,0,1994,64,4,1,70,970,0,9,1,1,0,0,0,0,0,0,0,0,0,11,0,1,0
"133",34,1,1985,63,5,0,0,965,0,9,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
"134",34,1,1986,64,5,0,0,1200,0,9,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
"135",35,0,1984,40,8,0,0,6000,0,18,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"136",35,0,1985,41,9,0,0,7500,0,18,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"137",35,0,1986,42,8,0,0,5700,0,18,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"138",35,0,1988,44,8,0,0,10000,0,18,1,0,0,0,1,1,1,0,0,0,1,3,0,0,0
"139",35,0,1991,47,8,0,0,9000,0,18,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0
"140",36,1,1984,30,5,0,0,6000,0,13,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"141",36,1,1985,31,7,0,0,7500,0,13,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0
"142",37,0,1985,48,7,0,0,6500,0,18,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
"143",38,1,1984,44,3,0,0,7000,1,13,1,0,1,0,0,0,1,0,1,0,0,9,0,1,0
"144",39,0,1988,58,8,0,0,5000,0,10.5,1,1,0,0,0,0,1,0,0,0,1,2,0,1,0
"145",39,0,1991,61,8,0,0,6000,0,10.5,1,1,0,0,0,0,1,0,0,0,1,4,0,1,0
"146",40,1,1988,60,6,0,0,5000,0,11,1,1,0,0,0,0,1,0,1,0,0,2,0,1,0
"147",40,1,1991,63,8,0,0,6000,0,11,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
"148",41,0,1988,63,3,1,40,5000,0,18,1,0,0,0,1,1,0,0,0,0,0,15,0,1,0
"149",42,1,1988,64,3,1,50,5000,0,15,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"150",43,1,1984,64,5,0,0,1680,0,9,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0
"151",44,0,1987,42,10,1,7.649712,4300,1,10.5,1,1,0,0,0,0,1,1,0,0,0,4,0,1,0
"152",44,0,1988,43,7,0,0,4000,1,10.5,1,1,0,0,0,0,1,1,0,0,0,15,0,1,0
"153",44,0,1991,46,5,0,0,4000,1,10.5,1,1,0,0,0,0,1,1,0,0,0,3,0,1,0
"154",44,0,1994,49,8,0,0,4800,1,10.5,1,1,0,0,0,0,1,1,0,0,0,4,0,1,0
"155",45,1,1986,27,10,0,0,2500,1,11.5,1,0,1,0,0,0,0,0,0,0,0,4,0,1,0
"156",45,1,1988,29,8,0,0,4000,1,11.5,1,0,1,0,0,0,1,0,1,0,0,10,0,1,0
"157",45,1,1991,32,8,0,0,4000,1,11.5,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"158",45,1,1994,35,10,0,0,4800,1,11.5,1,0,1,0,0,0,1,0,1,0,0,2,0,1,0
"159",46,0,1984,44,10,0,0,2000,0,12,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"160",46,0,1985,45,5,0,0,1800,0,12,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"161",46,0,1988,48,6,0,0,3284.583,0,12,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"162",47,0,1988,54,6,1,70,4200,0,9,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
"163",48,1,1988,46,4,0,0,4200,0,9,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0
"164",49,1,1985,52,4,0,0,2400,0,16,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
"165",49,1,1988,55,6,0,0,2600,0,16,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
"166",49,1,1991,58,5,0,0,6000,0,16,1,0,0,0,1,0,1,0,1,0,0,3,1,1,0
"167",50,1,1984,59,8,0,0,1400.552,0,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
"168",50,1,1985,60,8,0,0,1400,0,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
"169",50,1,1986,61,8,0,0,2500,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"170",50,1,1987,62,8,1,6.701853,3000,0,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
"171",50,1,1988,63,8,0,0,2500,0,9,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
"172",51,0,1984,29,7,0,0,3700,1,10.5,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"173",51,0,1986,31,5,0,0,4000,1,10.5,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0
"174",51,0,1987,32,0,1,7.649712,3650,1,10.5,1,1,0,0,0,0,1,1,0,0,0,14,0,1,0
"175",51,0,1988,33,0,1,50,2850,1,10.5,1,1,0,0,0,0,0,0,0,0,0,40,0,1,0
"176",51,0,1991,36,5,1,50,4400,1,10.5,1,1,0,0,0,0,1,1,0,0,0,3,0,1,0
"177",51,0,1994,39,5,1,50,3800,1,10.5,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"178",52,1,1984,28,7,0,0,3700,1,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"179",52,1,1985,29,5,0,0,4500,1,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"180",52,1,1986,30,5,0,0,4000,1,10.5,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
"181",52,1,1987,31,9,1,3.396562,3650,1,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"182",52,1,1988,32,8,0,0,2850,1,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"183",52,1,1991,35,8,0,0,4400,1,10.5,1,1,0,0,0,0,1,0,1,0,0,4,0,1,0
"184",52,1,1994,38,6,0,0,3800,1,10.5,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
"185",53,0,1984,47,5,0,0,4300,1,9,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"186",53,0,1985,48,8,0,0,2000,0,9,0,1,0,0,0,0,1,0,1,0,0,3,0,1,0
"187",53,0,1986,49,4,0,0,2040,0,9,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0
"188",53,0,1987,50,7,1,7.649712,1950,0,9,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"189",53,0,1988,51,8,0,0,2190,0,9,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"190",53,0,1991,54,5,0,0,5800,0,9,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"191",53,0,1994,57,7,0,0,6100,0,9,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"192",54,1,1984,55,7,1,40,4300,1,11.5,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"193",54,1,1985,56,5,1,40,2281.344,1,11.5,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"194",54,1,1988,59,4,0,0,3300,0,11.5,0,0,1,0,0,0,1,0,1,0,0,20,0,1,0
"195",54,1,1991,62,7,1,50,5800,0,11.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"196",55,1,1984,47,10,0,0,1700,0,11,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"197",55,1,1986,49,8,0,0,1850,0,11,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"198",55,1,1987,50,7,1,3.396562,1815,0,11,0,1,0,0,0,0,1,0,1,0,0,8,0,1,0
"199",55,1,1988,51,8,0,0,1980,0,11,0,1,0,0,0,0,1,0,1,0,0,2,0,1,0
"200",55,1,1991,54,4,1,60,2490,0,11,0,1,0,0,0,0,1,0,1,0,0,3,0,1,0
"201",55,1,1994,57,5,1,80,3600,0,11,1,1,0,0,0,0,1,0,1,0,0,6,1,1,0
"202",56,0,1984,38,0,0,0,2010,1,11,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
"203",56,0,1985,39,0,0,0,2100,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"204",56,0,1986,40,0,0,0,2340,1,11,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"205",57,1,1986,47,8,0,0,2340,1,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"206",57,1,1987,48,8,1,3.396562,2300,1,10.5,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0
"207",57,1,1988,49,8,1,3.396562,2200,1,10.5,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1
"208",57,1,1991,52,10,0,0,2800,0,10.5,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"209",57,1,1994,55,9,0,0,2300,0,10.5,0,1,0,0,0,0,1,0,1,0,0,4,0,1,0
"210",58,0,1984,50,8,0,0,3500,0,11,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"211",58,0,1986,52,9,0,0,2420,0,11,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"212",58,0,1987,53,10,0,0,4200,0,11,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"213",58,0,1988,54,9,0,0,4200,0,11,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"214",58,0,1991,57,8,0,0,5000,0,11,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"215",58,0,1994,60,6,0,0,5200,0,11,1,1,0,0,0,0,1,0,1,0,0,4,0,1,0
"216",59,1,1984,43,8,0,0,3500,0,10,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0
"217",59,1,1987,46,8,1,3.396562,3000,0,10,0,0,1,0,0,0,1,0,1,0,0,7,0,1,0
"218",59,1,1988,47,8,0,0,3500,0,10,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"219",59,1,1991,50,7,0,0,4300,0,10,1,0,1,0,0,0,1,0,1,0,0,2,0,1,0
"220",59,1,1994,53,7,0,0,4400,0,10,1,0,1,0,0,0,1,0,1,0,0,7,0,1,0
"221",60,1,1988,25,8,0,0,4400,0,12,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"222",60,1,1991,28,10,0,0,5700,0,12,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"223",60,1,1994,31,8,0,0,6200,0,12,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"224",61,1,1987,49,9,0,0,4200,0,11.5,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"225",61,1,1988,50,8,0,0,4200,0,11.5,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
"226",61,1,1991,53,10,0,0,5000,0,11.5,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
"227",62,1,1984,46,5,0,0,1700,1,9,0,1,0,0,0,0,1,1,0,0,0,3,0,1,0
"228",62,1,1985,47,5,0,0,3400,1,9,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"229",62,1,1986,48,7,0,0,3500,1,9,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"230",62,1,1987,49,7,1,3.396562,2300,0,9,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"231",62,1,1988,50,5,1,3.396562,1900,0,9,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"232",62,1,1991,53,10,0,0,4000,0,9,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"233",62,1,1994,56,4,0,0,3300,0,9,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
"234",63,0,1988,27,5,0,0,1800,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
"235",63,0,1991,30,8,0,0,3340,0,9,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0
"236",64,0,1984,32,9,0,0,4000,1,11.5,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"237",64,0,1986,34,7,0,0,4000,1,11.5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"238",64,0,1987,35,9,1,7.649712,4500,1,11.5,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0
"239",64,0,1988,36,8,0,0,4000,1,11.5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"240",64,0,1991,39,8,0,0,5150,1,11.5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"241",64,0,1994,42,7,0,0,5354,1,11.5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"242",65,1,1986,36,7,0,0,4000,1,10.5,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
"243",65,1,1987,37,5,1,3.396562,4500,1,10.5,1,1,0,0,0,0,1,0,1,0,0,5,0,1,0
"244",65,1,1988,38,6,0,0,4000,1,10.5,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
"245",65,1,1991,41,9,0,0,5150,1,10.5,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
"246",65,1,1994,44,6,0,0,5354,1,10.5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
